id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218896,荸荠,1186,蔬菜,,,2.2,2.5,2.35,皖,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218895,芋头,1186,蔬菜,,,1.5,1.6,1.55,鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218894,姜,1186,蔬菜,,,1.5,3.5,2.5,冀鲁,姜头\整,斤,2021-12-14 00:00:00,,138,,admin,,,
1218893,大蒜,1186,蔬菜,,,3.0,4.4,3.7,豫苏鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218892,蒜米,1186,蔬菜,,,3.2,3.8,3.5,鲁,机剥\手工,斤,2021-12-14 00:00:00,,138,,admin,,,
1218891,大葱,1186,蔬菜,,,2.0,2.2,2.1,冀鲁辽,毛\净,斤,2021-12-14 00:00:00,,138,,admin,,,
1218890,小葱,1186,蔬菜,,,5.0,5.5,5.25,辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218889,蒜苗,1186,蔬菜,,,3.0,6.5,4.75,鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218888,蒜黄,1186,蔬菜,,,3.6,4.0,3.8,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218887,青蒜,1186,蔬菜,,,3.5,3.8,3.65,鲁豫,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218886,平菇,1186,蔬菜,,,2.5,3.0,2.75,京,小叶,斤,2021-12-14 00:00:00,,138,,admin,,,
1218885,香菇,1186,蔬菜,,,3.0,4.0,3.5,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218884,白玉菇,1186,蔬菜,,,4.0,5.0,4.5,京,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218883,口蘑,1186,蔬菜,,,8.0,9.0,8.5,豫,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218882,杏鲍菇,1186,蔬菜,,,3.0,4.0,3.5,苏,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218881,金针菇,1186,蔬菜,,,2.0,3.0,2.5,辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218880,油菜,1186,蔬菜,1199,水菜,2.0,2.5,2.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218879,小白菜,1186,蔬菜,1199,水菜,2.0,2.5,2.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218878,油麦菜,1186,蔬菜,1199,水菜,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218877,奶白菜,1186,蔬菜,1199,水菜,3.0,3.2,3.1,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218916,杭椒,1186,蔬菜,,,3.5,4.0,3.75,鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218915,小米椒,1186,蔬菜,,,10.0,12.0,11.0,云,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218914,彩椒,1186,蔬菜,,,6.0,6.5,6.25,鲁冀,红\黄,斤,2021-12-14 00:00:00,,138,,admin,,,
1218913,白萝卜,1186,蔬菜,,,0.8,1.0,0.9,鄂冀川,,斤,2021-12-14 00:00:00,,138,,admin,,,
