肖申克的救赎,1994,9.7,2502068
霸王别姬,1993,9.6,1860093
阿甘正传,1994,9.5,1879946
这个杀手不太冷,1994,9.4,2041775
泰坦尼克号,1997,9.4,1841535
美丽人生,1997,9.6,1152575
千与千寻,2001,9.4,1961194
辛德勒的名单,1993,9.5,961290
盗梦空间,2010,9.3,1805856
忠犬八公的故事,2009,9.4,1240088
星际穿越,2014,9.3,1484658
楚门的世界,1998,9.3,1406324
海上钢琴师,1998,9.3,1467400
三傻大闹宝莱坞,2009,9.2,1643040
机器人总动员,2008,9.3,1157080
放牛班的春天,2004,9.3,1142320
无间道,2002,9.3,1138001
疯狂动物城,2016,9.2,1636344
大话西游之大圣娶亲,1995,9.2,1339448
熔炉,2011,9.3,814598
教父,1972,9.3,819497
当幸福来敲门,2006,9.2,1327143
控方证人,1957,9.6,410817
龙猫,1988,9.2,1107582
怦然心动,2010,9.1,1586055
触不可及,2011,9.3,897959
末代皇帝,1987,9.3,725225
蝙蝠侠：黑暗骑士,2008,9.2,909113
寻梦环游记,2017,9.1,1401927
活着,1994,9.3,709275
指环王3：王者无敌,2003,9.3,694466
哈利·波特与魔法石,2001,9.1,973018
乱世佳人,1939,9.3,600358
素媛,2013,9.3,583701
飞屋环游记,2009,9.1,1155500
何以为家,2018,9.1,890666
摔跤吧！爸爸,2016,9.0,1371742
十二怒汉,1957,9.4,406140
哈尔的移动城堡,2004,9.1,869864
我不是药神,2018,9.0,1825927
少年派的奇幻漂流,2012,9.1,1196680
鬼子来了,2000,9.3,536590
大话西游之月光宝盒,1995,9.0,1067369
天空之城,1986,9.1,721741
天堂电影院,1988,9.2,597301
猫鼠游戏,2002,9.1,809283
闻香识女人,1992,9.1,750139
指环王2：双塔奇兵,2002,9.2,647018
罗马假日,1953,9.1,840171
钢琴家,2002,9.2,499709
让子弹飞,2010,8.9,1435741
指环王1：护戒使者,2001,9.1,733529
辩护人,2013,9.2,520882
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,364392
教父2,1974,9.2,462065
狮子王,1994,9.1,719559
死亡诗社,1989,9.1,605928
黑客帝国,1999,9.1,712446
海蒂和爷爷,2015,9.3,431960
搏击俱乐部,1999,9.0,734611
绿皮书,2018,8.9,1367269
饮食男女,1994,9.1,520281
美丽心灵,2001,9.0,661509
窃听风暴,2006,9.2,486465
本杰明·巴顿奇事,2008,9.0,854240
情书,1995,8.9,905547
两杆大烟枪,1998,9.1,523055
穿条纹睡衣的男孩,2008,9.1,460776
西西里的美丽传说,2000,8.9,846960
看不见的客人,2016,8.8,1066723
飞越疯人院,1975,9.1,490868
拯救大兵瑞恩,1998,9.0,560643
音乐之声,1965,9.1,519498
小鞋子,1997,9.2,352968
阿凡达,2009,8.8,1214156
海豚湾,2009,9.3,324415
致命魔术,2006,8.9,744526
沉默的羔羊,1991,8.9,751395
哈利·波特与死亡圣器(下),2011,8.9,694395
美国往事,1984,9.2,357509
禁闭岛,2010,8.8,828131
蝴蝶效应,2004,8.8,808770
布达佩斯大饭店,2014,8.9,777948
心灵捕手,1997,8.9,611885
低俗小说,1994,8.9,719246
春光乍泄,1997,9.0,542837
摩登时代,1936,9.3,253914
七宗罪,1995,8.8,832576
喜剧之王,1999,8.8,833208
致命ID,2003,8.8,697793
被嫌弃的松子的一生,2006,8.9,627943
杀人回忆,2003,8.9,593679
加勒比海盗,2003,8.8,750077
红辣椒,2006,9.0,375426
剪刀手爱德华,1990,8.7,934276
狩猎,2012,9.1,326912
请以你的名字呼唤我,2017,8.9,602760
勇敢的心,1995,8.9,508773
7号房的礼物,2013,8.9,475263
功夫,2004,8.7,911064
超脱,2011,8.9,453714
断背山,2005,8.8,626637
哈利·波特与阿兹卡班的囚徒,2004,8.9,576686
