ClassFication,Name,low-price,mean-price,high-price,release-time
蔬菜,大白菜,0.7,0.9,1.1,2021-12-13 00:00:00
蔬菜,娃娃菜,0.9,1.05,1.2,2021-12-13 00:00:00
蔬菜,小白菜,1.2,1.35,1.5,2021-12-13 00:00:00
蔬菜,圆白菜,1.5,1.8,2.1,2021-12-13 00:00:00
蔬菜,圆白菜,1.1,1.15,1.2,2021-12-13 00:00:00
蔬菜,紫甘蓝,1.4,1.45,1.5,2021-12-13 00:00:00
蔬菜,芹菜,1.3,1.5,1.7,2021-12-13 00:00:00
蔬菜,西芹,3.8,4.15,4.5,2021-12-13 00:00:00
蔬菜,菠菜,1.8,2.15,2.5,2021-12-13 00:00:00
蔬菜,莴笋,1.0,1.4,1.8,2021-12-13 00:00:00
蔬菜,团生菜,2.0,2.5,3.0,2021-12-13 00:00:00
蔬菜,散叶生菜,2.4,2.6,2.8,2021-12-13 00:00:00
蔬菜,罗马生菜,2.3,2.45,2.6,2021-12-13 00:00:00
蔬菜,油菜,1.0,1.25,1.5,2021-12-13 00:00:00
蔬菜,香菜,2.5,3.25,4.0,2021-12-13 00:00:00
蔬菜,茴香,2.5,2.75,3.0,2021-12-13 00:00:00
蔬菜,韭菜,3.2,3.5,3.8,2021-12-13 00:00:00
蔬菜,苦菊,3.3,3.4,3.5,2021-12-13 00:00:00
蔬菜,油麦菜,3.0,3.5,4.0,2021-12-13 00:00:00
蔬菜,黄心菜,1.0,1.05,1.1,2021-12-13 00:00:00

蔬菜,大白菜,0.7,0.9,1.1,2021-12-13 00:00:00
蔬菜,娃娃菜,0.9,1.05,1.2,2021-12-13 00:00:00
蔬菜,小白菜,1.2,1.35,1.5,2021-12-13 00:00:00
蔬菜,圆白菜,1.5,1.8,2.1,2021-12-13 00:00:00
蔬菜,圆白菜,1.1,1.15,1.2,2021-12-13 00:00:00
蔬菜,紫甘蓝,1.4,1.45,1.5,2021-12-13 00:00:00
蔬菜,芹菜,1.3,1.5,1.7,2021-12-13 00:00:00
蔬菜,西芹,3.8,4.15,4.5,2021-12-13 00:00:00
蔬菜,菠菜,1.8,2.15,2.5,2021-12-13 00:00:00
蔬菜,莴笋,1.0,1.4,1.8,2021-12-13 00:00:00
蔬菜,团生菜,2.0,2.5,3.0,2021-12-13 00:00:00
蔬菜,散叶生菜,2.4,2.6,2.8,2021-12-13 00:00:00
蔬菜,罗马生菜,2.3,2.45,2.6,2021-12-13 00:00:00
蔬菜,油菜,1.0,1.25,1.5,2021-12-13 00:00:00
